OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1,201642428,SFO-2012CACDFLNU000037,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000037,,,,,,,,2012,1/6/2012 0:00:00,6,1122,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.010000000000000,A,38.459811999999999,-122.746877999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
2,201642429,SFO-2012CACDFLNU000069,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000069,,,,,,,,2012,1/11/2012 0:00:00,11,0050,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.010000000000000,A,38.433613999999999,-122.711764000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
3,201642430,SFO-2012CACDFLNU000101,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000101,,,,,,,,2012,1/15/2012 0:00:00,15,1605,Human,Missing data/not specified/undetermined,,,,,0.010000000000000,A,38.451911000000003,-122.669855999999996,COUNTY,CA,SONOMA,06097,Sonoma County
4,201642434,SFO-2012CACDFLNU000169,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000169,,HELM   THE_SEA_RANCH,,,,,,2012,1/8/2012 0:00:00,8,1539,Human,Debris and open burning,,,,,0.060000000000000,A,38.637290000000000,-123.388647000000006,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
5,201642436,SFO-2012CACDFLNU000293,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000293,,CRANE,,,,,,2012,1/14/2012 0:00:00,14,1629,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.367055000000001,-122.653369999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
6,201642437,SFO-2012CACDFLNU000326,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000326,,WARM SPRINGS RD  KENWOOD,,,,,,2012,1/15/2012 0:00:00,15,1933,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.393036000000002,-122.549485000000004,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
7,201642438,SFO-2012CACDFLNU000344,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000344,,HWY,,,,,,2012,1/16/2012 0:00:00,16,1248,Human,Debris and open burning,,,,,0.250000000000000,A,38.822383000000002,-123.025368000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
8,201642439,SFO-2012CACDFLNU000347,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000347,,BODEGA,,,,,,2012,1/16/2012 0:00:00,16,1404,Human,Equipment and vehicle use,,,,,1.000000000000000,B,38.261158000000002,-122.714834999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
9,201642440,SFO-2012CACDFLNU000373,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000373,,TRINITY,,,,,,2012,1/17/2012 0:00:00,17,1235,Human,Debris and open burning,,,,,1.000000000000000,B,38.379449999999999,-122.514370999999997,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
10,201642441,SFO-2012CACDFLNU000390,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000390,,KNOB HILL RD  SCHELLVILLE,,,,,,2012,1/18/2012 0:00:00,18,0749,Human,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.252308999999997,-122.421267999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
11,201642442,SFO-2012CACDFLNU000404,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000404,,,,,,,,2012,2/28/2012 0:00:00,59,1855,Human,Smoking,,,,,0.100000000000000,A,38.434911999999997,-122.744245000000006,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
12,201642443,SFO-2012CACDFLNU000422,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000422,,SHILOH,,,,,,2012,1/19/2012 0:00:00,19,0938,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.544583000000003,-122.745932999999994,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
13,201642444,SFO-2012CACDFLNU000447,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000447,,,,,,,,2012,3/6/2012 0:00:00,66,1153,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.010000000000000,A,38.411762000000003,-122.729380000000006,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
14,201642445,SFO-2012CACDFLNU000474,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU000474,,,,,,,,2012,3/10/2012 0:00:00,70,1327,Human,Smoking,,,,,0.100000000000000,A,38.439056999999998,-122.708534999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
